repo_name;url;stars;forks;commits;contributors;open_issues;creation_date;last_push_date;license;language;has_license_file;Validacao_Tecnica;Evidencias;Tipo_Evidencia
licaige/workFlow_G6-licaige;https://github.com/licaige/workFlow_G6-licaige;6;0;61;3;0;2024-02-19T06:41:29+00:00;2024-05-07T06:55:12+00:00;Apache License 2.0;JavaScript;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
johnverbiest/microfrontendPOC;https://github.com/johnverbiest/microfrontendPOC;0;1;16;2;0;2021-07-07T06:31:40+00:00;2021-08-18T11:26:20+00:00;;C#;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
fabio7maia/microfrontend-widgets-module-reactjs;https://github.com/fabio7maia/microfrontend-widgets-module-reactjs;1;0;31;1;0;2021-09-23T20:20:46+00:00;2021-09-24T09:50:06+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
project-for-huflit/Traveloki;https://github.com/project-for-huflit/Traveloki;0;1;517;5;4;2024-09-20T05:24:12+00:00;2025-04-01T12:51:21+00:00;MIT License;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
wukong-aiseceval/xss_mutation_072;https://github.com/wukong-aiseceval/xss_mutation_072;0;0;7446;55;5;2025-06-19T21:51:49+00:00;2025-10-13T20:26:16+00:00;Other;Ruby;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
totorovip/totoro2023;https://github.com/totorovip/totoro2023;0;0;12;5;0;2023-08-03T12:10:08+00:00;2024-01-02T00:28:48+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Tanwinder/mfe-crossdomain-storybook-testcases;https://github.com/Tanwinder/mfe-crossdomain-storybook-testcases;0;0;41;1;0;2021-06-21T00:43:37+00:00;2021-07-30T12:43:57+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
sdedieu/snow-shop-cross-country;https://github.com/sdedieu/snow-shop-cross-country;0;0;17;2;0;2021-08-22T06:46:27+00:00;2022-06-20T19:53:15+00:00;MIT License;Vue;True;REJEITAR (Sem Evidência);;Nenhuma
AlenSkorjanc/AlpineClub;https://github.com/AlenSkorjanc/AlpineClub;0;0;131;1;0;2024-03-11T07:42:47+00:00;2024-05-19T17:12:19+00:00;;HTML;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Artur-/iot-hilla;https://github.com/Artur-/iot-hilla;0;0;41;1;0;2023-02-16T17:45:47+00:00;2023-05-29T17:07:46+00:00;;Java;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Zako563/Portfolio;https://github.com/Zako563/Portfolio;0;0;43;1;0;2025-01-21T00:00:52+00:00;2025-05-15T21:20:34+00:00;;Java;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
codeTrackLift/micro-frontends;https://github.com/codeTrackLift/micro-frontends;0;0;11;1;0;2022-10-24T20:08:45+00:00;2022-10-26T14:18:49+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Kombaiya-MK/Tourism-Website;https://github.com/Kombaiya-MK/Tourism-Website;1;0;24;1;0;2023-07-31T05:00:28+00:00;2024-03-04T17:05:38+00:00;;C#;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
jan-dolejsi/webpack-module-federation-vs-angular-material-forms;https://github.com/jan-dolejsi/webpack-module-federation-vs-angular-material-forms;0;0;10;1;0;2024-10-04T08:38:18+00:00;2024-10-08T00:25:50+00:00;MIT License;TypeScript;True;ERRO (Sem package.json);;Raiz vazia/Outra ling.
meiiie/quiz_online;https://github.com/meiiie/quiz_online;0;0;10;1;1;2025-08-18T03:15:33+00:00;2025-08-21T12:59:56+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
hdsDevOps/reseller_customer_frontend;https://github.com/hdsDevOps/reseller_customer_frontend;1;0;431;12;0;2024-07-05T10:29:08+00:00;2025-05-05T08:50:03+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
namecheap/ilc-adapter-vue;https://github.com/namecheap/ilc-adapter-vue;3;1;77;12;15;2020-04-15T10:16:48+00:00;2023-01-06T03:28:43+00:00;Apache License 2.0;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
jl917/sample;https://github.com/jl917/sample;0;0;71;3;1;2022-03-08T06:35:15+00:00;2024-11-03T10:23:11+00:00;;HTML;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
bpinela/studyNotes;https://github.com/bpinela/studyNotes;0;0;20;3;9;2020-01-13T18:07:49+00:00;2023-08-03T01:28:45+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
patricianicolentan/single-spa;https://github.com/patricianicolentan/single-spa;0;0;14;1;0;2025-06-02T00:35:18+00:00;2025-06-09T21:38:06+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
jeevanandham5/my-mf-shop-TEMP;https://github.com/jeevanandham5/my-mf-shop-TEMP;0;0;16;1;0;2024-06-02T07:36:59+00:00;2024-08-31T16:29:11+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
single-spa/single-spa-alpinejs;https://github.com/single-spa/single-spa-alpinejs;10;0;15;3;0;2020-07-21T18:08:54+00:00;2025-06-19T20:29:26+00:00;MIT License;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
TakaShinoda/my-mfe;https://github.com/TakaShinoda/my-mfe;0;0;34;1;0;2025-03-08T05:18:13+00:00;2025-04-07T13:27:28+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
mojaloop/microfrontend-shell-boilerplate;https://github.com/mojaloop/microfrontend-shell-boilerplate;1;1;57;3;13;2021-09-28T02:24:35+00:00;2024-10-22T19:04:01+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
minhthuong031103/micro-frontends;https://github.com/minhthuong031103/micro-frontends;0;0;15;1;0;2024-06-14T15:50:18+00:00;2024-06-21T07:38:15+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
miha-plemenitas/PlayList;https://github.com/miha-plemenitas/PlayList;0;0;47;1;0;2025-03-16T12:31:23+00:00;2025-05-18T22:34:18+00:00;;Java;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
sang1833/Finder_Admin;https://github.com/sang1833/Finder_Admin;1;0;81;3;0;2024-05-26T15:35:33+00:00;2024-06-17T16:40:53+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
prgmlu/realtime-3d;https://github.com/prgmlu/realtime-3d;0;0;18;3;0;2022-03-15T18:47:36+00:00;2022-09-07T17:24:07+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
gauravsoni1/webpack-udemy;https://github.com/gauravsoni1/webpack-udemy;28;34;10;2;0;2022-03-05T18:21:08+00:00;2022-11-02T23:22:33+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
mojaloop/reporting-hub-bop-shell;https://github.com/mojaloop/reporting-hub-bop-shell;0;5;100;6;27;2021-09-29T03:47:23+00:00;2025-12-02T03:01:12+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
infitx-org/microfrontend-shell-boilerplate;https://github.com/infitx-org/microfrontend-shell-boilerplate;1;0;55;2;1;2020-09-02T14:46:47+00:00;2021-09-20T08:23:25+00:00;;TypeScript;False;REJEITAR (Sem Evidência);;Nenhuma
AL-WRIFI/File-manager-micro-frontend-react-js-vite;https://github.com/AL-WRIFI/File-manager-micro-frontend-react-js-vite;2;2;28;3;0;2023-12-12T00:00:56+00:00;2024-01-16T20:13:23+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Ramses-Salinas/ABFP;https://github.com/Ramses-Salinas/ABFP;0;0;30;5;0;2024-09-16T19:48:51+00:00;2024-12-03T03:37:44+00:00;;Python;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
NguyenThoQuan/DATN;https://github.com/NguyenThoQuan/DATN;2;0;66;1;0;2025-03-11T09:15:37+00:00;2025-06-06T01:10:40+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
L-Qun/state-management-collection;https://github.com/L-Qun/state-management-collection;21;7;106;3;2;2024-02-07T12:39:43+00:00;2025-01-11T09:59:28+00:00;MIT License;TypeScript;True;REJEITAR (Sem Evidência);;Nenhuma
OmerHerera/module-federation-types;https://github.com/OmerHerera/module-federation-types;2;0;15;2;0;2022-04-28T06:28:24+00:00;2022-05-04T08:20:17+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
mehtasandeep2155/Nexus-Day2;https://github.com/mehtasandeep2155/Nexus-Day2;0;0;10;1;0;2023-07-18T15:16:20+00:00;2023-07-20T11:01:53+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
malcolm-kee/federation-main-app;https://github.com/malcolm-kee/federation-main-app;2;1;40;2;0;2020-09-23T14:34:15+00:00;2022-11-09T23:04:46+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
tipalti/webpack-import-map-plugin;https://github.com/tipalti/webpack-import-map-plugin;28;6;148;6;40;2019-11-22T09:05:23+00:00;2023-07-18T20:15:38+00:00;MIT License;JavaScript;True;REJEITAR (Sem Evidência);;Nenhuma
panda-micro-team/panda;https://github.com/panda-micro-team/panda;0;0;30;1;0;2024-09-21T11:51:24+00:00;2024-11-27T15:12:06+00:00;;JavaScript;False;REJEITAR (Sem Evidência);;Nenhuma
RussellWestBrank/micro-frontend-examples;https://github.com/RussellWestBrank/micro-frontend-examples;0;0;15;1;0;2024-07-31T04:38:48+00:00;2025-01-13T02:15:15+00:00;;JavaScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
Mahmudulazamshohan/prosphere;https://github.com/Mahmudulazamshohan/prosphere;2;1;39;2;0;2023-08-19T15:34:15+00:00;2025-04-13T18:26:10+00:00;;TypeScript;False;ERRO (Sem package.json);;Raiz vazia/Outra ling.
